zip,site,email,nom_gerant,nb_annonces,taille_equipe,crm_detecte
pages_html_batch00001_20260629_222824.zip,ChIJax_I17B95kcRum2KHKEfUew,,,100,,
pages_html_batch00001_20260629_222824.zip,ChIJpWxw7Tpv5kcRnjo6cLurrkY,,,,,
pages_html_batch00001_20260629_222824.zip,ChIJof7PURZu5kcRNNLCgBiBl5A,contact@jsbimmo.com,,,,
pages_html_batch00001_20260629_222824.zip,ChIJAyjOllDHyRIRYs2jSBocGq8,dpo@agence-etoile.com,,,80,
pages_html_batch00001_20260629_222824.zip,ChIJVVX54Z0U5kcRCa892waa9fI,contact@agencelamaison.fr,,55,,
pages_html_batch00001_20260629_222824.zip,ChIJrRzrr1lu5kcRv6oHqbNE0FA,,,,,
pages_html_batch00001_20260629_222824.zip,ChIJBaebnuRv5kcRbjBbVgUw3sU,contact@leonimmobilier.fr,,,,
pages_html_batch00001_20260629_222824.zip,ChIJz9NVMKl65kcRfjhxdoPeos0,contact@lagenceparisienne.fr,,,,
pages_html_batch00001_20260629_222824.zip,ChIJoXd7mGVy5kcRcAil0q2se7A,lesalleesdelimmo@gmail.com,,,,
pages_html_batch00001_20260629_222824.zip,ChIJlyl1_RZu5kcR621Kyr59NMo,,,,,
pages_html_batch00001_20260629_222824.zip,ChIJ__9Pjltu5kcRT0uEzmkVcuY,,,,,
pages_html_batch00001_20260629_222824.zip,ChIJ_1OuFTNw5kcRwjGTV6ez1N4,,,,,
pages_html_batch00001_20260629_222824.zip,ChIJAV-xJmpy5kcRBA6jhlsJ4o0,infos@generation-immo.fr,,,,
pages_html_batch00001_20260629_222824.zip,ChIJRSqTLDtw5kcRFYFyOkl0WXI,contact@la-bonne-agence.com,,,,
pages_html_batch00001_20260629_222824.zip,ChIJp6iHnlh25kcRNvoAKwS-oVE,rgpd@lesagencesprimo.com,,,,
pages_html_batch00001_20260629_222824.zip,ChIJD7fiBh9u5kcRYJSMaMOCCwQ,qcq.cnevf@cnevf.se,,,,
pages_html_batch00001_20260629_222824.zip,ChIJT5SqUGtu5kcRZ-Q2Blh_7_w,e.hostein@ernest-et-associes.com,,,,
pages_html_batch00001_20260629_222824.zip,ChIJO3HoG-dz5kcRJTfcjK-WpIY,contact@hlgestion.fr,,2025,,
pages_html_batch00001_20260629_222824.zip,ChIJI51WYpBt5kcRl_R06ErGwbc,pitoy@20emeappart.com,,,,
pages_html_batch00001_20260629_222824.zip,ChIJ_xGWeJHRw0cR2wkx5kZBXMU,km@theplace-tobe.be,,,,
pages_html_batch00001_20260629_222824.zip,ChIJnVeTzr-NVUER3xFGp1AS66M,contact@leomolinet.com,,2025,,
pages_html_batch00001_20260629_222824.zip,ChIJYfJLKQ5u5kcRYMmn3hVjSpk,contact@laportedeparis.fr,,5,,
pages_html_batch00001_20260629_222824.zip,ChIJF-MrkFtu5kcRz4ctLHaXRgM,,,,,
pages_html_batch00001_20260629_222824.zip,ChIJbUIMrkNv5kcRJAs2Dy1fO5M,contact@theplacetobefrance.fr,,2019,,
pages_html_batch00001_20260629_222824.zip,ChIJRXMlWPJt5kcRoIOZViUn3Gg,,,,,
pages_html_batch00001_20260629_222824.zip,ChIJN89KdeWwFq0RJeV-yyxxWzk,,,,,
pages_html_batch00001_20260629_222824.zip,ChIJtY72j9Rv5kcRB5a4K7Ib6Go,,,,,Apimo
pages_html_batch00001_20260629_222824.zip,ChIJg3Nnmen0T2YRYOjjTx1EVG8,hello@2c.immo,,,,
pages_html_batch00001_20260629_222824.zip,ChIJF-0q92tx5kcRW_3rY7XsuKU,nborge@valeurimmoparis.com,,13,,
pages_html_batch00001_20260629_222824.zip,ChIJ1_FAyGpw5kcRBDVurFtq8yI,contact@city-15-immobilier.fr,,,,
pages_html_batch00001_20260629_222824.zip,ChIJucHF-YNv5kcRjZHxBRGHw_g,,,,,
pages_html_batch00001_20260629_222824.zip,ChIJ_xG-eARy5kcR-gEvetqM54w,donyphane.hadzic@hb-immobilier.com,,000,,
pages_html_batch00001_20260629_222824.zip,ChIJlyC0kSdw5kcRMzavMfZpLdE,michel.orivel@orange.fr,,,,
pages_html_batch00001_20260629_222824.zip,ChIJgcBV82du5kcRz54IY6N1jx4,,,600,,
pages_html_batch00001_20260629_222824.zip,ChIJb2OscjBu5kcR-nLnzvh0Fm0,perenium@perenium.com,,15,,
